round,client_id,mse,r2_score,mae,num_samples,coefficient_norm,intercept
1,1,3744.3780287108384,0.3246726605095732,50.20524496540138,200,324.6333512050174,[149.47846838]
2,1,3744.3780287108384,0.3246726605095732,50.20524496540138,200,324.6333512050174,[149.47846838]
3,1,3744.3780287108384,0.3246726605095732,50.20524496540138,200,324.6333512050174,[149.47846838]
4,1,3744.3780287108384,0.3246726605095732,50.20524496540138,200,324.6333512050174,[149.47846838]
5,1,3744.3780287108384,0.3246726605095732,50.20524496540138,200,324.6333512050174,[149.47846838]
1,2,3557.049111909747,0.4269157714951687,51.01450235262021,242,414.7707533234199,[153.3839441]
2,2,3557.049111909747,0.4269157714951687,51.01450235262021,242,414.7707533234199,[153.3839441]
3,2,3557.049111909747,0.4269157714951687,51.01450235262021,242,414.7707533234199,[153.3839441]
4,2,3557.049111909747,0.4269157714951687,51.01450235262021,242,414.7707533234199,[153.3839441]
5,2,3557.049111909747,0.4269157714951687,51.01450235262021,242,414.7707533234199,[153.3839441]
